symbol,screener_slug,q_eps_latest,q_eps_yoy_base,q_eps_yoy_pct,a_eps_latest,a_eps_prev,a_eps_yoy_pct,fetch_status,error
DIACABS,DIACABS,,,,,,,error,http_429
DIVISLAB,DIVISLAB,,,,,,,error,http_429
DIXON,DIXON,30.8300,0.4200,7240.4762,158.7800,93.9500,69.0048,ok,
DLF,DLF,,,,,,,error,http_429
DMART,DMART,14.1800,12.0600,17.5788,47.9200,44.9800,6.5362,ok,
DOMS,DOMS,8.9300,7.6600,16.5796,34.8600,31.2900,11.4094,ok,
DRREDDY,DRREDDY,,,,,,,error,http_429
DUMMYALCAR,DUMMYALCAR,,,,,,,error,http_404
DYNAMATECH,DYNAMATECH,,,,,,,error,http_429
ECLERX,ECLERX,13.3900,8.7300,53.3792,46.0500,37.7200,22.0838,ok,
EDELWEISS,EDELWEISS,,,,,,,error,http_429
EICHERMOT,EICHERMOT,47.0300,38.5300,22.0607,179.7500,156.0800,15.1653,ok,
EIDPARRY,EIDPARRY,,,,,,,error,http_429
EIEL,EIEL,,,,,,,error,http_429
EIHOTEL,EIHOTEL,3.1700,3.5100,-9.6866,10.7100,12.0100,-10.8243,ok,
